Time [h]	Cond [muS/cm]
-2	224.43
-1.9	224.43
-1.8	233.06
-1.7	222.51
-1.6	207.63
-1.5	225.07
-1.4	237.86
-1.3	220.59
-1.2	220.59
-1.1	197.56
-1	236.58
-0.9	236.58
-0.8	241
-0.7	209.07
-0.6	230.19
-0.5	238.93
-0.4	238.93
-0.3	238.93
-0.2	234.79
-0.1	225.87
0	225.87
0.1	225.58
0.2	241.7
0.3	264.73
0.4	318.48
0.5	361.47
0.6	432.94
0.7	487.39
0.8	531.53
0.9	585.28
1	640.94
1.1	679.33
1.2	703.06
1.3	761.86
1.4	761.86
1.5	802.17
1.6	836.72
1.7	859.75
1.8	880.22
1.9	905.05
2	914.89
2.1	928.85
2.2	942.46
2.3	942.46
2.4	973.63
2.5	982.59
2.6	992.83
2.7	1005.62
2.8	1005.62
2.9	1013.3
3	997.18
3.1	1017.14
3.2	1017.14
3.3	1013.3
3.4	982.59
3.5	994.11
3.6	1001.79
3.7	986.43
3.8	969.33
3.9	985.73
4	985.73
4.1	971.93
4.2	971.93
4.3	944.2
4.4	957.81
4.5	930.98
4.6	912.4
4.7	929.62
4.8	921.94
4.9	908.89
5	908.89
5.1	919.77
5.2	902.74
5.3	855.91
5.4	886.62
5.5	863.59
5.6	829.04
5.7	829.04
5.8	821.36
5.9	821.36
6	803.45
6.1	793.53
6.2	793.53
6.3	784.89
6.4	756.87
6.5	745.98
6.6	745.98
6.7	725.87
6.8	742.14
6.9	718.48
7	718.48
7.1	681.89
7.2	667.33
7.3	679.67
7.4	654.37
7.5	663.97
7.6	641.42
7.7	620.46
7.8	637.1
7.9	637.1
8	609.53
8.1	609.53
8.2	585.28
8.3	601.15
8.4	585.8
8.5	585.8
8.6	558.4
8.7	558.4
8.8	558.4
8.9	570.56
9	553.41
9.1	536.01
9.2	526.54
9.3	515.7
9.4	505.04
9.5	496.98
9.6	487.39
9.7	487.39
9.8	488.67
9.9	475.87
10	475.87
10.1	473.57
10.2	464.35
10.3	464.35
10.4	457.44
10.5	448.65
10.6	448.65
10.7	448.65
10.8	429.38
10.9	429.38
11	420.69
11.1	403.57
11.2	417.59
11.3	417.59
11.4	393.33
11.5	412.53
11.6	381.82
11.7	381.82
11.8	402.23
11.9	392.37
12	358.79
12.1	385.66
12.2	358.02
12.3	358.02
12.4	367.1
12.5	367.1
12.6	350.58
12.7	366.46
12.8	366.46
12.9	347.27
13	341.51
13.1	329.03
13.2	339.59
13.3	322.32
13.4	322.32
13.5	317.52
13.6	317.52
13.7	307.31
13.8	307.31
13.9	331.27
14	322.87
14.1	305.68
14.2	319.76
14.3	307.92
14.4	307.92
14.5	299.63
14.6	282.01
14.7	289.69
14.8	289.69
14.9	299.28
15	283.93
15.1	310.8
15.2	310.8
15.3	297.36
15.4	300.24
15.5	291.61
15.6	291.61
15.7	272.06
15.8	288.19
15.9	274.33
16	285.21
16.1	273.69
16.2	273.69
16.3	285.03
16.4	285.03
16.5	272.41
16.6	272.41
16.7	280.09
16.8	267.48
16.9	278.99
17	291.61
17.1	251.94
17.2	251.94
17.3	264.73
17.4	264.73
17.5	250.66
17.6	262.18
17.7	252.45
17.8	252.45
17.9	251.3
18	257.82
18.1	257.82
18.2	269.67
18.3	257.06
18.4	257.06
18.5	248.61
18.6	253.22
18.7	253.22
18.8	252.45
18.9	252.45
19	241.06
19.1	241.06
19.2	252.74
19.3	232.74
19.4	260.13
19.5	241.7
19.6	255.14
19.7	268.22
19.8	234.66
19.9	250.15
20	250.15
20.1	241
20.2	241
20.3	232.87
20.4	268.57
20.5	239.51
20.6	253.22
20.7	230.19
20.8	230.19
20.9	243.62
21	243.62
21.1	238.82
21.2	238.82
21.3	250.34
21.4	237.1
21.5	237.1
21.6	237.1
21.7	237.1
21.8	232.74
21.9	232.74
22	226.35
22.1	226.35
22.2	234.79
22.3	248.1
22.4	236.9
22.5	253.22
22.6	221.74
22.7	241.7
22.8	227.99
22.9	227.99
23	230.95
23.1	230.95
23.2	220.59
23.3	244.26
23.4	234.66
23.5	221.74
23.6	241.7
23.7	241.7
23.8	246.82
23.9	246.82
24	237.1

