Time [d]	Xi
0.689494467	3.947553393
2.272018382	5.71871284
3.237626194	4.013208203
4.316834926	4.726331993
5.313027601	4.273201251
6.265406246	3.061870003
7.246115768	2.387745171
8.22186652	1.390263981
9.201674447	0.938697108
10.15308214	1.586191757
11.24175762	2.606882169
11.78495935	0.331706639
13.17942784	1.26143605
14.16096862	0.43846349
14.95474956	1.768657828
16.15973074	1.911494064
17.17740564	2.843239486
18.61635062	4.158961882
18.8861528	1.885992353
19.56451257	4.899210487
20.54543622	4.3393813
21.5426666	1.841145067
22.54347128	2.019928166
23.33788882	2.549270073
24.55199864	3.4262542
25.44660588	3.167297807
26.44061392	2.453249913
27.47485562	3.752558607
28.40022977	4.251431498
29.45948159	4.860261722
30.44910349	3.01510502
31.38698727	3.812304484
32.40466217	3.538627591
33.45547067	2.736878693
34.26487722	4.119568995
35.36596181	3.707860102
36.1534925	3.033507125
37.31790192	3.167297807
39.30361529	1.068323798
39.60696044	0.869655892
41.27973398	0.763295099
42.20274144	1.369738214
43.12980609	0.442524455
44.17837794	0.589057334
45.11788761	2.591252088
47.13602842	2.451164407
48.18521147	1.220997849
49.17317733	0.849050382
50.18320601	1.673270768
51.16430486	2.044996366
51.26241474	2.429614181
53.09998637	1.913460906
54.09169169	2.10446317
55.50633016	1.737151124
56.58351335	2.514965435
57.54721853	3.883211679
58.45713962	4.40871278
59.53148705	4.24956552
59.74619449	5.092573282
61.51489769	4.745915885
62.55150608	5.028300679
64.4827217	2.843239486
65.46670613	2.628432395
66.32508518	3.189334128
67.45054571	2.453249913
68.40984236	3.036264628
69.26083133	3.459674616
70.41836972	3.300196964
72.34958535	2.775442255
72.92653076	2.307058536
74.28553435	3.427567296
75.28251765	3.061701177
76.28301717	2.238662349
76.40797818	1.427459159
78.24263303	1.328583015
79.19850362	0.221361537
80.27771235	0.008639952
81.21045704	0.5899664
82.14320173	1.544962511
82.94489964	2.507274443
84.17828105	1.826903024
85.12623467	2.151734633
86.06689633	2.583246437
87.10113803	3.233229058
88.04544567	1.566909976
89.07968737	1.910284633
90.21671086	2.62432759
91.60148705	2.494772144
