Time [d]	Nitrate [gN m-3]
0.251306719	6.01560796
0.259712098	6.044117647
0.260100582	5.971732662
0.263173137	6.06614786
0.264656439	6.096189059
0.271437249	6.034390021
0.273061818	6.116216526
0.279341131	6.044518196
0.283939368	6.04812314
0.287647624	6.06764992
0.294996712	6.038291475
0.296959466	6.108205539
0.301967196	6.167363593
0.306188902	6.070820935
0.309155507	6.096189059
0.314792055	6.175497826
0.31805532	6.090180819
0.321021925	6.120222019
0.325471831	6.144254978
0.328862237	6.168287938
0.337189919	6.165884642
0.338228231	6.091382467
0.34590844	6.062809949
0.354099565	6.043316548
0.356868396	5.962005035
0.359238771	5.882719831
0.36737512	5.927958343
0.369229248	5.891908904
0.369785486	5.852855344
0.377980731	5.87027924
0.385100582	5.831025406
0.390213612	5.753365961
0.394502436	5.840145606
0.398153642	5.76934081
0.405570153	5.783760586
0.407795107	5.813801785
0.410205473	5.845345045
0.411008928	5.915941863
0.418590251	5.882562753
0.426666007	5.865205615
0.433752896	5.819810025
0.435236198	5.855859464
0.435659999	5.898775463
0.445407414	5.871309224
0.446954286	5.942378119
0.450398843	6.030098421
0.454889953	6.127732319
0.455260779	6.0721561
0.460452337	6.026274995
0.467974798	6.06528954
0.470176207	5.968013275
0.473060406	6.000057221
0.474790925	6.032101167
0.478251964	6.012073701
0.483196304	6.004062715
0.485668475	6.06013962
0.489376731	6.024090181
0.490118382	6.06013962
0.493270399	6.08567464
0.495853817	6.16107805
0.501655177	6.271095598
0.509994632	6.278839551
0.518486537	6.381580453
0.520773295	6.272430762
0.525717636	6.216353857
0.531280019	6.301971275
0.540550658	6.240386816
0.548659377	6.244392309
0.551428208	6.180304417
0.553900379	6.088178073
0.555383681	6.186312657
0.559981918	6.195925841
0.562058541	6.132238499
0.565766797	6.114213779
0.570587529	6.108205539
0.577633215	6.04812314
0.582083121	6.036106661
0.586533028	6.024090181
0.590686275	6.040913252
0.593949539	5.915941863
0.595432842	5.994048981
0.597657795	5.879892424
0.601860485	5.863870451
0.602849353	5.831826505
0.609276996	5.807793545
0.613232469	5.807793545
0.616199073	5.903925383
0.618053201	5.801785306
0.619495301	5.738364996
0.623615585	5.723678187
0.627601959	5.792021916
0.628065491	5.716811627
0.635976437	5.735694667
0.640920778	5.889906157
0.646310109	5.833028153
0.653776064	5.799782559
0.654171611	5.714065003
0.658720405	5.659590295
0.663664745	5.663595789
0.66663135	5.630550469
0.669597954	5.663595789
0.674789512	5.657587549
0.682206024	5.720674067
0.685172628	5.61552987
0.688880884	5.639562829
0.693660413	5.580815595
0.702230604	5.57948043
0.703713906	5.543430991
0.709647115	5.59149691
0.711130418	5.531414511
0.715580324	5.543430991
0.718843589	5.569867247
0.722502402	5.494029908
0.729226705	5.536221103
0.743551167	5.60179675
0.747916313	5.649176013
0.75192123	5.57948043
0.752662881	5.633554589
0.757261118	5.639562829
0.760763993	5.563766572
0.765765384	5.448300526
0.769191106	5.58119707
0.77194581	5.555447471
0.776395717	5.519398032
0.781587275	5.513389792
0.785048313	5.412251087
0.789003786	5.375200275
0.789251003	5.561055161
0.79157104	5.493516383
0.794788665	5.392023346
0.801823755	5.467898833
0.803836808	5.375200275
0.81125332	5.426270314
0.81792818	5.327134356
0.818669831	5.291084916
0.823119738	5.393224994
0.823861389	5.303101396
0.827569645	5.291084916
0.830165424	5.243018997
0.832019551	5.206969558
0.833435431	5.172012526
0.833502854	5.279068437
0.842649884	5.233672847
0.847594225	5.327134356
0.85056083	5.303101396
0.853527434	5.291084916
0.858824942	5.303959716
0.860202294	5.182936599
0.865923603	5.13057908
0.878001921	5.210975051
0.880968526	5.182936599
0.882699045	5.046749828
0.884676781	5.164911879
0.886160084	5.066777295
0.903135654	5.112172885
0.908671377	4.919987748
0.908706278	5.041142138
0.913137643	4.852483406
0.918496073	4.899347677
0.928434198	4.840466926
0.928805023	4.932092584
0.936804261	4.760643168
0.941042267	4.762359808
0.946233825	4.804417487
0.949756668	4.66622797
0.957358592	4.64219501
0.963291801	4.576104372
0.969899238	4.524215027
0.978866475	4.467956054
0.980154605	4.570728578
0.989991241	4.365815976
1.001857659	4.353799496
1.00868085	4.315346761
1.013724078	4.250801099
1.018173984	4.269684138
1.021140589	4.287708858
1.029447081	4.267280842
1.035510079	4.319252117
1.043178222	4.276550698
1.046191916	4.188906691
1.052753468	4.136751831
1.057176108	4.070351945
1.061745988	4.1960832
1.064898005	4.16754406
1.065639656	4.137502861
1.070089563	4.137502861
1.07453947	4.137502861
1.079528759	4.087252128
1.083096983	4.016413719
1.088074603	4.116474022
1.088630841	4.077420462
1.092127197	4.048237583
1.093822399	3.957255665
1.096047353	3.993305104
1.099755608	4.029354543
1.101403722	4.068074311
1.105053116	3.958972305
1.109869033	4.029354543
1.114390857	3.938029297
1.122005142	3.969272145
1.125819348	3.895456626
1.126455049	3.969272145
1.130904956	3.945239185
1.135778663	4.005321584
1.136838165	3.969272145
1.144254676	3.975280385
1.146034639	4.058194095
1.151671187	3.993305104
1.158346047	4.059395743
1.158346047	4.017338064
1.15982935	4.089436942
1.163537605	4.065403983
1.168135842	4.049782559
1.174377122	4.131956793
1.181337232	4.1885729
1.183562186	4.155527581
1.186899616	4.123984321
1.190607871	4.19908732
1.193945301	4.16754406
1.195428604	4.131494621
1.199136859	4.155527581
1.203586766	4.1735523
1.205070068	4.137502861
1.209334562	4.131494621
1.216088885	4.147802701
1.219903091	4.161535821
1.224352998	4.18041886
1.228432079	4.108963722
1.231027858	4.137502861
1.231769509	4.1735523
1.234736113	4.20960174
1.236219416	4.143511101
1.23918602	4.18556878
1.239927671	4.215609979
1.240669322	4.257667659
1.245119229	4.245651179
1.249569136	4.305733577
1.250310787	4.239642939
1.253854231	4.356469825
1.254019043	4.290712978
1.256614822	4.419890135
1.261435554	4.413881895
1.265885461	4.412546731
1.273203085	4.444323644
1.27429084	4.516021973
1.27819687	4.573701076
1.284080635	4.510814832
1.286015991	4.607862211
1.287640561	4.670233463
1.292584901	4.64219501
1.293697378	4.717298009
1.295551506	4.621166171
1.29851811	4.65421149
1.302374696	4.680647745
1.303857999	4.746738384
1.306527943	4.814030671
1.310310363	4.905355917
1.314622535	5.015564202
1.316688563	5.086053731
1.320767644	4.954623484
1.326875359	4.805477764
1.331076595	4.905355917
1.335366461	5.048857983
1.338938097	5.342154955
1.341533876	5.735694667
1.345427544	5.962505722
1.350062864	5.852855344
1.351587369	5.621538109
1.356054624	5.523825156
1.359827937	5.659590295
1.362300107	5.729140223
1.366515809	6.046225801
1.369610668	6.238670176
1.377556931	6.277294575
1.380710506	6.518179554
